"Subject","Age","Gender","ProvinceTerritory","postalcode","electionmunicipal","safecommunity","safetransiting","education","childreninhousehold","income","democracy.satisfaction","safety.Canada","safety.city","Visible.Minority"
42,37,"Women","BC","V3E","Yes",8,6,7,1,"$90,000 to $109,999","Neutral","Got worse","Got worse","No"
43,41,"Women","SK","S4R","No",6,1,13,0,"Less than $30,000","Neutral","Got worse","Got worse","No"
44,32,"Women","QB","J2X","No",10,7,5,0,"$30,000 to $59,999","Neutral","Got worse","Stayed about the same","No"
45,30,"Women","AB","T5L","No",6,2,8,1,"Less than $30,000","Fairly Neutral","Got worse","Got worse","No"
46,30,"Women","BC","V5C","No",6,6,6,1,"$150,000 to $199,999","Fairly Neutral","Stayed about the same","Got worse","No"
47,32,"Men","BC","V2S","Yes",6,5,9,1,"$150,000 to $199,999","Not very satisfied","Got worse","Got worse","No"
48,31,"Men","ON","N2P","Yes",7,9,7,2,"$30,000 to $59,999","Fairly Neutral","Got better","Stayed about the same","No"
49,29,"Men","AB","T1Y","Yes",8,7,8,NA,"$30,000 to $59,999","Very Satisfied","Got worse","Got worse","No"
50,29,"Women","BC","V4A","Don't Know",5,5,7,1,"Less than $30,000","Don't know","Don't know","Don't know","No"
51,34,"Men","AB","T6H","Yes",9,5,5,0,"$110,000 to $149,999","Very Satisfied","Got worse","Stayed about the same","No"
52,25,"Women","ON","N5X","Yes",7,6,2,0,"$60,000 to $89,999","Very Satisfied","Got better","Prefer not to say","No"
53,23,"Women","PE","C1A","No",5,6,6,0,"$30,000 to $59,999","Not very satisfied","Got worse","Got worse","No"
54,42,"Men","AB","T5H","Yes",7,7,6,NA,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
55,22,"Women","AB","T8L","No",8,6,5,0,"Less than $30,000","Neutral","Stayed about the same","Stayed about the same","No"
56,31,"Women","MN","R3V","No",9,2,7,2,"$30,000 to $59,999","Don't know","Stayed about the same","Stayed about the same","No"
57,37,"Men","SK","S3N","Yes",9,8,7,0,"$150,000 to $199,999","Neutral","Got worse","Stayed about the same","No"
58,39,"Men","MN","R2M","No",8,7,7,0,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
59,21,"Men","NB","E3V","No",7,7,5,0,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
60,34,"Women","SK","S9V","No",9,5,9,1,"$110,000 to $149,999","Not very satisfied","Don't know","Stayed about the same","No"
61,66,"Women","QB","H7B","Yes",8,8,8,0,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
62,34,"Men","AB","T2X","No",10,10,7,0,"Less than $30,000","Fairly Neutral","Stayed about the same","Stayed about the same","No"
63,42,"Men","MN","R3G","Yes",6,5,10,0,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
64,32,"Men","MN","R2C","No",10,7,5,NA,"$30,000 to $59,999","Fairly Neutral","Don't know","Stayed about the same","Yes"
65,30,"Women","QB","G0S","No",8,8,9,1,"$110,000 to $149,999","Fairly Neutral","Got worse","Stayed about the same","No"
66,30,"Men","QB","J2A","Yes",8,7,9,0,"$110,000 to $149,999","Fairly Neutral","Got worse","Stayed about the same","No"
67,32,"Women","QB","G7G","Yes",7,7,9,0,"$150,000 to $199,999","Not very satisfied","Got worse","Got worse","No"
68,34,"Men","QB","J3M","No",10,10,8,0,"$150,000 to $199,999","Fairly Neutral","Got worse","Stayed about the same","No"
69,51,"Men","QB","H4C","No",5,5,5,0,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Stayed about the same","Yes"
70,25,"Men","QB","J7H","No",10,10,6,0,"$110,000 to $149,999","Fairly Neutral","Got better","Got better","No"
71,34,"Women","ON","M1M","Yes",6,6,9,0,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
72,27,"Women","ON","M3M","Yes",5,2,9,0,"$150,000 to $199,999","Fairly Neutral","Got worse","Got worse","No"
73,43,"Women","NB","E1A","Yes",9,9,9,2,"$150,000 to $199,999","Fairly Neutral","Got worse","Stayed about the same","No"
74,33,"Women","ON","K0C","Yes",10,6,9,5,"$110,000 to $149,999","Not at all satisfied","Got worse","Stayed about the same","No"
75,29,"Women","ON","M4X","Prefer not to say",7,6,9,0,"$30,000 to $59,999","Not very satisfied","Got worse","Got worse","No"
76,41,"Women","ON","L1G","No",7,6,7,0,"$90,000 to $109,999","Fairly Neutral","Got worse","Got worse","No"
77,39,"Women","ON","M6P","Yes",7,6,9,NA,"$110,000 to $149,999","Fairly Neutral","Got worse","Stayed about the same","No"
78,39,"Men","QB","H7K","Yes",7,8,9,1,"$110,000 to $149,999","Not very satisfied","Got worse","Got worse","No"
79,39,"Men","ON","L6E","Yes",8,9,9,1,"$110,000 to $149,999","Fairly Neutral","Don't know","Got worse","No"
80,23,"Women","ON","N0R","Yes",10,5,9,0,"$60,000 to $89,999","Neutral","Stayed about the same","Stayed about the same","No"
81,44,"Women","ON","N0K","No",7,6,7,2,"$150,000 to $199,999","Neutral","Stayed about the same","Stayed about the same","No"
82,35,"Women","ON","K9J","No",7,7,7,2,"$30,000 to $59,999","Neutral","Got worse","Stayed about the same","No"
83,37,"Women","ON","N2N","No",7,7,7,3,"$60,000 to $89,999","Neutral","Stayed about the same","Stayed about the same","No"
84,24,"Men","BC","V3S","Yes",8,6,10,0,"$90,000 to $109,999","Very Satisfied","Stayed about the same","Stayed about the same","No"
85,37,"Men","ON","K0G","No",10,9,7,0,"$60,000 to $89,999","Not very satisfied","Stayed about the same","Stayed about the same","No"
86,32,"Men","BC","V7H","Yes",7,5,5,0,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
87,43,"Women","ON","M6P","Yes",6,7,10,2,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
88,39,"Men","ON","P1L","Yes",9,9,7,0,"$60,000 to $89,999","Very Satisfied","Got worse","Stayed about the same","No"
89,40,"Women","ON","N5Y","No",1,2,9,0,"$30,000 to $59,999","Not at all satisfied","Don't know","Don't know","No"
90,43,"Men","BC","V3E","Yes",9,9,10,1,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
91,34,"Men","ON","K4M","Yes",10,8,9,2,"$110,000 to $149,999","Not very satisfied","Stayed about the same","Stayed about the same","No"
92,42,"Men","QB","H4C","Yes",8,7,9,NA,"$60,000 to $89,999","Neutral","Stayed about the same","Stayed about the same","No"
93,38,"Men","ON","L1G","Yes",8,3,5,NA,"$30,000 to $59,999","Not at all satisfied","Got worse","Got worse","No"
94,41,"Women","ON","M6J","Yes",7,7,9,2,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
95,42,"Women","BC","V0R","Yes",9,9,9,2,"$90,000 to $109,999","Neutral","Got worse","Got worse","No"
96,44,"Men","ON","M5A","Yes",9,9,9,NA,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
97,42,"Men","ON","M6G","Yes",8,7,5,NA,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
98,42,"Women","NS","B6L","Don't Know",0,0,7,0,"$110,000 to $149,999","Not at all satisfied","Got worse","Got worse","No"
99,44,"Men","QB","H1P","Yes",0,0,6,2,"$150,000 to $199,999","Not very satisfied","Got worse","Got worse","No"
100,38,"Men","ON","M1J","No",4,0,7,1,"$200,000 or more","Neutral","Got worse","Got worse","No"
101,35,"Men","ON","N3R","No",7,8,5,NA,"$30,000 to $59,999","Neutral","Stayed about the same","Stayed about the same","No"
102,40,"Men","ON","K2B","No",9,9,4,NA,"Less than $30,000","Not very satisfied","Got worse","Got worse","No"
103,37,"Women","QB","G1M","No",9,9,4,NA,"Less than $30,000","Very Satisfied","Stayed about the same","Stayed about the same","No"
104,40,"Men","ON","K1N","Yes",7,8,9,NA,"$200,000 or more","Fairly Neutral","Stayed about the same","Stayed about the same","No"
105,43,"Women","QB","G1B","Yes",10,10,9,1,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
106,40,"Women","ON","N6C","Yes",7,5,10,0,"$200,000 or more","Neutral","Got worse","Got worse","No"
107,41,"Women","QB","H4B","Yes",9,9,6,0,"$60,000 to $89,999","Neutral","Don't know","Don't know","No"
108,35,"Women","ON","M2N","Yes",5,2,9,NA,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
109,37,"Men","ON","L6A","Yes",5,5,7,0,"$90,000 to $109,999","Neutral","Stayed about the same","Stayed about the same","No"
110,35,"Men","ON","L8G","Yes",7,6,7,1,"$150,000 to $199,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
111,35,"Men","ON","M4G","Yes",9,9,10,0,"$60,000 to $89,999","Neutral","Stayed about the same","Stayed about the same","No"
112,20,"Women","ON","L1T","Yes",8,3,8,0,"Don’t know","Neutral","Don't know","Stayed about the same","No"
113,37,"Women","QB","J7Z","Yes",8,7,5,NA,"$30,000 to $59,999","Not very satisfied","Got worse","Stayed about the same","No"
114,38,"Men","ON","M2J","Yes",9,2,6,2,"$60,000 to $89,999","Very Satisfied","Got worse","Got worse","No"
115,42,"Men","QB","J0K","Yes",9,4,10,0,"$60,000 to $89,999","Not very satisfied","Got worse","Got worse","No"
116,21,"Women","BC","V6E","Don't Know",6,6,9,NA,"$30,000 to $59,999","Don't know","Don't know","Don't know","No"
117,24,"Men","ON","L4L","Yes",8,7,9,NA,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
118,40,"Women","QB","J0K","No",10,10,7,0,"$150,000 to $199,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
119,42,"Women","QB","G0A","Yes",9,7,7,2,"$110,000 to $149,999","Fairly Neutral","Got worse","Stayed about the same","No"
120,43,"Men","QB","G0A","Yes",10,4,6,1,"$60,000 to $89,999","Fairly Neutral","Got worse","Stayed about the same","No"
121,44,"Men","QB","G6W","No",9,9,7,0,"$30,000 to $59,999","Neutral","Got worse","Stayed about the same","No"
122,18,"Men","AB","T9E","Yes",2,1,1,2,"$110,000 to $149,999","Neutral","Got worse","Got worse","No"
123,24,"Women","QB","J7C","No",9,7,9,0,"$30,000 to $59,999","Not very satisfied","Got worse","Stayed about the same","No"
124,33,"Men","ON","L0S","No",10,0,7,0,"$90,000 to $109,999","Very Satisfied","Got worse","Stayed about the same","No"
125,25,"Men","BC","V2T","Yes",8,8,8,0,"$60,000 to $89,999","Fairly Neutral","Got better","Stayed about the same","No"
126,22,"Men","ON","M6P","Yes",5,2,5,NA,"$60,000 to $89,999","Not very satisfied","Got worse","Got worse","No"
127,19,"Men","BC","V8X","No",7,7,5,0,"Don’t know","Very Satisfied","Got better","Got better","No"
128,42,"Women","QB","G5L","No",10,7,11,2,"$150,000 to $199,999","Fairly Neutral","Got worse","Got worse","No"
129,38,"Men","AB","T3J","Yes",5,2,7,2,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Got worse","Yes"
130,24,"Women","SK","S4T","No",5,5,5,0,"Less than $30,000","Neutral","Don't know","Don't know","Yes"
131,21,"Women","ON","M1W","Yes",6,6,8,NA,"$30,000 to $59,999","Neutral","Stayed about the same","Stayed about the same","No"
132,31,"Women","ON","M6J","Yes",7,7,9,2,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
133,24,"Women","ON","N2J","Yes",9,10,5,1,"Less than $30,000","Fairly Neutral","Stayed about the same","Stayed about the same","Yes"
134,26,"Men","ON","L6Y","No",3,4,4,0,"Less than $30,000","Not very satisfied","Got worse","Got worse","No"
135,31,"Women","NS","B3R","Yes",6,8,6,1,"$60,000 to $89,999","Neutral","Got worse","Got worse","No"
136,28,"Women","QB","G5J","No",7,6,8,0,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Got worse","No"
137,20,"Women","ON","L1V","No",8,9,8,0,"$60,000 to $89,999","Not very satisfied","Don't know","Got worse","No"
138,34,"Men","BC","V6T","Yes",8,8,9,1,"$150,000 to $199,999","Not at all satisfied","Got worse","Got worse","No"
139,38,"Women","AB","T2Y","Yes",10,7,5,1,"$60,000 to $89,999","Neutral","Prefer not to say","Got better","No"
140,25,"Women","AB","T8R","Yes",1,0,6,0,"$30,000 to $59,999","Not very satisfied","Got worse","Got worse","Yes"
141,33,"Women","QB","J0C","Yes",7,8,7,0,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
142,40,"Women","BC","V5A","Yes",5,5,8,2,"$110,000 to $149,999","Neutral","Got worse","Got worse","No"
143,34,"Women","BC","V3J","Yes",8,7,10,0,"$200,000 or more","Neutral","Got worse","Got worse","No"
144,33,"Women","NS","B1M","Yes",8,8,7,1,"$30,000 to $59,999","Neutral","Don't know","Don't know","No"
145,34,"Women","AB","T5T","Yes",8,8,9,2,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
146,29,"Men","ON","L8H","Yes",5,5,5,0,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
147,44,"Women","BC","V4P","Yes",7,9,8,2,"$150,000 to $199,999","Neutral","Stayed about the same","Stayed about the same","No"
148,28,"Men","ON","K8V","Yes",9,10,6,NA,"$30,000 to $59,999","Very Satisfied","Got better","Got worse","No"
149,23,"Men","ON","M2H","Yes",4,5,9,0,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Don't know","No"
150,43,"Women","QB","J7V","Yes",8,9,9,3,"$150,000 to $199,999","Fairly Neutral","Got worse","Got worse","No"
151,33,"Men","BC","V6H","Yes",8,6,9,NA,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
152,33,"Women","BC","V3B","Yes",10,10,9,0,"$200,000 or more","Not very satisfied","Stayed about the same","Stayed about the same","No"
153,31,"Men","ON","M6B","Yes",9,8,9,1,"$90,000 to $109,999","Fairly Neutral","Got better","Stayed about the same","Yes"
154,31,"Men","AB","T6E","Yes",7,3,9,NA,"Prefer not to say","Neutral","Don't know","Stayed about the same","No"
155,21,"Men","ON","L6X","No",8,4,9,0,"$150,000 to $199,999","Neutral","Got worse","Got better","No"
156,24,"Women","BC","V9E","Yes",7,6,5,0,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Got better","No"
157,23,"Women","ON","L4J","Prefer not to say",6,5,7,0,"Prefer not to say","Don't know","Prefer not to say","Prefer not to say","Prefer not to say"
158,40,"Women","AB","T2V","Yes",7,4,9,NA,"$60,000 to $89,999","Fairly Neutral","Don't know","Got worse","No"
159,34,"Men","QB","J1L","Yes",9,8,9,NA,"$60,000 to $89,999","Neutral","Got worse","Stayed about the same","No"
160,24,"Men","ON","L4L","Yes",8,8,9,NA,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
161,26,"Men","QB","J5V","Yes",9,10,5,1,"$30,000 to $59,999","Very Satisfied","Got better","Stayed about the same","Yes"
162,44,"Women","ON","K1V","Yes",8,5,9,1,"$200,000 or more","Fairly Neutral","Stayed about the same","Stayed about the same","No"
163,26,"Women","QB","J2T","No",7,5,9,NA,"$60,000 to $89,999","Don't know","Got worse","Don't know","No"
164,39,"Women","ON","L1T","No",8,6,9,1,"$150,000 to $199,999","Fairly Neutral","Got worse","Stayed about the same","No"
165,45,"Men","QB","H3C","Yes",6,7,10,0,"$110,000 to $149,999","Neutral","Got worse","Stayed about the same","No"
166,36,"Women","ON","P3E","Yes",5,5,9,1,"$60,000 to $89,999","Neutral","Got worse","Got worse","Prefer not to say"
167,41,"Women","QB","J0K","No",5,7,5,0,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
168,39,"Men","NB","E3B","No",9,9,7,3,"$60,000 to $89,999","Fairly Neutral","Got worse","Stayed about the same","No"
169,39,"Women","QB","J0L","Yes",9,8,10,1,"$150,000 to $199,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
170,37,"Women","SK","S0E","Yes",3,2,4,4,"Less than $30,000","Don't know","Stayed about the same","Stayed about the same","Yes"
171,44,"Women","ON","N4G","Yes",7,6,9,NA,"$30,000 to $59,999","Don't know","Got worse","Got worse","No"
172,36,"Women","ON","N2R","No",6,5,11,2,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Got worse","No"
173,40,"Women","QB","G0W","Yes",9,5,9,3,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
174,33,"Women","QB","G3B","No",10,8,10,1,"$150,000 to $199,999","Very Satisfied","Stayed about the same","Stayed about the same","No"
175,34,"Men","ON","M6J","Yes",8,9,9,1,"$150,000 to $199,999","Very Satisfied","Stayed about the same","Stayed about the same","No"
176,26,"Women","ON","M6S","No",6,6,7,1,"Less than $30,000","Neutral","Stayed about the same","Stayed about the same","Prefer not to say"
177,36,"Women","BC","V5P","Yes",7,8,9,0,"$90,000 to $109,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
178,27,"Women","ON","K2J","Yes",9,6,7,1,"$90,000 to $109,999","Not very satisfied","Got worse","Got worse","No"
179,42,"Women","BC","V2Y","Yes",7,6,9,0,"$60,000 to $89,999","Neutral","Got worse","Stayed about the same","No"
180,25,"Men","AB","T1B","Yes",9,7,6,1,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
181,29,"Women","MN","R2C","No",6,2,5,3,"$30,000 to $59,999","Fairly Neutral","Got worse","Got worse","No"
182,33,"Men","ON","M5N","No",6,4,4,0,"$30,000 to $59,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
183,42,"Men","QB","G7X","Yes",10,8,4,0,"Less than $30,000","Neutral","Stayed about the same","Stayed about the same","No"
184,31,"Men","ON","M1V","No",5,5,9,0,"$60,000 to $89,999","Neutral","Got worse","Got worse","No"
185,35,"Men","NL","A1A","Yes",10,0,10,1,"$150,000 to $199,999","Very Satisfied","Stayed about the same","Stayed about the same","No"
186,40,"Men","MN","R8A","No",5,5,5,NA,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
187,22,"Men","QB","H1T","Yes",6,7,8,NA,"$90,000 to $109,999","Very Satisfied","Stayed about the same","Got better","No"
188,33,"Men","AB","T2K","No",8,6,6,1,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
189,37,"Men","SK","S0K","Yes",8,5,7,1,"$110,000 to $149,999","Not very satisfied","Stayed about the same","Stayed about the same","No"
190,39,"Men","QB","H2L","Yes",6,7,9,1,"$90,000 to $109,999","Fairly Neutral","Got worse","Got worse","No"
191,30,"Women","AB","T5K","No",4,0,11,0,"$60,000 to $89,999","Fairly Neutral","Got worse","Got worse","No"
192,31,"Men","ON","M9L","Yes",5,4,6,0,"$30,000 to $59,999","Not very satisfied","Got worse","Got worse","No"
193,35,"Men","QB","J3R","No",7,8,5,0,"$30,000 to $59,999","Don't know","Stayed about the same","Stayed about the same","No"
194,34,"Women","ON","K9J","No",10,5,10,2,"$110,000 to $149,999","Neutral","Got worse","Got worse","No"
195,19,"Women","AB","T3H","No",5,7,8,0,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
196,22,"Women","ON","K9V","No",6,5,8,0,"$90,000 to $109,999","Fairly Neutral","Got worse","Stayed about the same","No"
197,30,"Women","SK","S7K","Yes",7,3,9,0,"$110,000 to $149,999","Fairly Neutral","Got worse","Got worse","No"
198,24,"Women","ON","M6G","Yes",7,3,8,0,"Less than $30,000","Neutral","Got worse","Got worse","No"
199,34,NA,"AB","T3R","Yes",7,1,5,NA,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
200,22,"Women","QB","G7X","Don't Know",7,2,5,0,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
201,20,"Men","ON","N8H","No",8,10,6,2,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
202,44,"Women","AB","T5A","Yes",7,7,5,0,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Got worse","No"
203,22,"Men","BC","V2S","No",7,8,4,0,"$30,000 to $59,999","Neutral","Stayed about the same","Stayed about the same","No"
204,30,"Men","QB","J5Y","No",9,9,7,0,"$110,000 to $149,999","Not at all satisfied","Got worse","Got worse","No"
205,22,"Men","ON","M4B","No",8,6,8,2,"$60,000 to $89,999","Neutral","Stayed about the same","Stayed about the same","No"
206,34,"Women","AB","T4A","No",6,7,5,1,"$110,000 to $149,999","Neutral","Got worse","Got worse","No"
207,18,"Women","QB","G0L","No",6,3,4,2,"Less than $30,000","Neutral","Don't know","Don't know","No"
208,27,"Women","MN","R3C","Don't Know",5,6,7,0,"$30,000 to $59,999","Neutral","Got worse","Got worse","Yes"
209,39,"Women","ON","L3Z","Yes",8,4,9,2,"$110,000 to $149,999","Very Satisfied","Don't know","Stayed about the same","No"
210,39,"Women","ON","L9Y","No",10,7,7,0,"$30,000 to $59,999","Don't know","Got worse","Don't know","No"
211,65,"Women","NB","E1A","Yes",7,6,6,0,"$30,000 to $59,999","Neutral","Got worse","Got worse","No"
212,39,"Men","ON","K7M","Yes",10,10,7,0,"Less than $30,000","Not very satisfied","Stayed about the same","Stayed about the same","No"
213,42,"Women","QB","G0S","No",3,2,10,NA,"$60,000 to $89,999","Neutral","Got worse","Stayed about the same","No"
214,30,"Women","ON","L4H","Yes",4,4,6,0,"$30,000 to $59,999","Neutral","Stayed about the same","Stayed about the same","No"
215,35,"Women","AB","T2P","Yes",10,0,6,0,"$90,000 to $109,999","Don't know","Got worse","Got worse","No"
216,19,"Women","ON","L6H","No",7,8,5,0,"$60,000 to $89,999","Not very satisfied","Got worse","Got worse","No"
217,32,"Women","QB","G3G","Yes",7,3,9,0,"$200,000 or more","Not at all satisfied","Stayed about the same","Stayed about the same","No"
218,32,"Women","ON","P0J","Yes",7,4,10,NA,"$60,000 to $89,999","Neutral","Got worse","Stayed about the same","No"
219,25,"Women","ON","L6P","Yes",8,7,7,0,"$150,000 to $199,999","Fairly Neutral","Stayed about the same","Got worse","No"
220,37,"Women","AB","T8N","Yes",10,8,5,2,"$110,000 to $149,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
221,38,"Men","ON","M6B","No",5,5,7,0,"$60,000 to $89,999","Fairly Neutral","Stayed about the same","Stayed about the same","No"
222,32,"Women","ON","L9W","Yes",8,7,9,1,"$150,000 to $199,999","Neutral","Got worse","Got worse","No"
223,37,"Men","ON","N2E","Yes",6,4,9,0,"Prefer not to say","Not very satisfied","Got worse","Got worse","No"
224,41,"Women","ON","N8N","Yes",10,5,9,0,"Prefer not to say","Not very satisfied","Got worse","Don't know","No"
225,41,"Men","ON","N5Z","No",8,9,9,2,"$200,000 or more","Fairly Neutral","Stayed about the same","Got better","No"
